wreck_id,obstruction_type,lat,lon,water_depth,original_date
99239,,35.88195,23.31833,50,2022
35284,foul ground,36.12592,-5.36738,50,1990
83563,foul ground,36.13915,-5.36498,13,2015
95512,foul area,36.12848,-5.35678,12,2015
93819,,36.13098,-5.3623,20,20190626
34895,,36.1299,-5.3613,22,20190626
99357,,41.9345,15.7731,13,2021
53957,,25.41385,-79.2215,9,2019
74644,,7.08953,125.64082,0,2009
88318,foul area,53.00453,4.79475,5,2017
88319,foul area,52.99498,4.77598,5,2017
28920,foul ground,53.28763,5.16537,15,1994
97260,foul ground,53.23012,5.05222,0,2021
95766,,51.88842,4.02587,0,2019
100047,foul area,-20.43695,57.7469,10,2022
99902,,5.2973,-4.03457,12,2022
95302,,43.72572,15.78678,15,2018
90496,,57.50763,22.82165,4,2018
84454,foul area,40.15952,18.49952,20,2015
100289,,40.15505,18.48907,2,2022
100286,,40.14847,18.49712,1,
84456,foul area,40.157,18.50192,20,2015
100282,,40.15602,18.4901,4,2022
73612,,44.83447,12.50113,18,2009
95835,,51.88455,4.02805,0,2019
100335,foul area,-2.7073,133.68302,10,2022
65049,foul ground,52.50108,4.47075,12,2004
59009,foul ground,52.245,3.8412,19,2000
80141,foul ground,44.34383,12.64717,28,2013
100383,foul area,44.21042,12.39978,2,2022
57282,,52.27583,3.24117,21,1999
95143,,20.8992,-17.05203,5,2020
95594,,45.60233,13.71663,10,2016
100410,,45.6178,13.73673,8,2022
83301,,45.60875,13.72693,10,2015
74829,,44.15338,12.54468,9,2010
68911,,44.32718,12.40297,7,2006
75039,foul ground,14.84898,120.25625,2,2006
75041,foul ground,14.85013,120.25933,3,2006
101330,,14.85963,120.21165,23,2022
79419,,14.71213,120.16468,66,2012
69110,,14.80953,120.28205,25,1950
69109,,14.80823,120.28018,28,1945
101310,,14.81318,120.28253,22,2022
90276,,14.81768,120.2594,32,2018
88223,,-5.88763,106.01212,28,2017
101421,,40.76517,14.00783,5,2023
67147,foul ground,24.48865,56.71048,24,2004
67137,foul ground,24.4701,56.68568,13,2004
67254,foul ground,24.51552,56.6341,8,2004
66656,foul ground,24.58417,56.6125,24,2004
67138,foul ground,24.54462,56.64803,29,2004
67151,foul ground,24.58592,56.59553,20,2004
82277,,23.64057,58.50837,4,2015
59610,foul ground,10.2492,123.86102,1,1999
101780,foul ground,59.52067,2.03533,122,2023
94746,,52.57278,1.73977,6,2020
91975,foul ground,38.22032,21.71883,2,2019
91973,foul ground,38.2214,21.71917,2,2019
78405,,38.23142,21.71648,10,2011
91976,foul ground,38.21887,21.71768,2,2019
91977,foul ground,38.21963,21.71698,6,2019
101795,,38.2478,21.72783,9,2023
101817,,33.90042,35.51073,7,2023
83862,,38.25113,21.73477,9,2015
101794,,38.24798,21.72752,10,2023
96923,,38.24943,21.71855,27,2021
39795,,33.9066,35.54387,10,1941
101809,,33.91352,35.53072,16,2022
95265,,33.90355,35.51928,10,2020
101814,,33.90178,35.52093,9,2022
101811,,33.9072,35.52165,15,2022
95264,,33.90387,35.51852,13,2020
