wreck_id,obstruction_type,lat,lon,water_depth,original_date
3329,,55.94167,-9.13417,175,1945
56179,,56.46667,-12.0,2500,1941
56197,,56.0,-14.86667,350,1941
56203,,55.5,-13.66667,2650,1940
3780,,55.8363,-6.83757,52,1985
3389,,55.67222,-8.36055,97,1969
69617,,55.90628,-9.03437,144,2007
56178,,56.5,-14.16667,650,1940
3559,,55.81955,-7.43295,65,1976
69470,,55.80613,-9.22712,137,2005
56176,,56.6,-15.05,240,1940
56218,,55.83333,-14.0,2400,1941
56301,,55.3,-15.16667,2100,1989
3445,,55.74073,-8.47763,107,1983
59244,,56.26333,-13.16167,2400,2001
3388,,55.66805,-8.4175,98,1946
56167,,56.6664,-10.7504,2300,1940
69667,,55.7001,-8.28467,98,2005
3359,,55.48667,-8.41917,85,1969
56244,,54.98333,-15.15,2300,1939
3515,,55.57138,-7.57793,70,1945
56212,,55.68333,-14.5,2050,1940
56232,,55.23333,-10.56667,2188,1940
3369,,55.51283,-8.68223,91,1939
4987,,54.90017,-10.55067,1150,1917
4999,,54.66667,-8.834,25,1975
56181,,55.33333,-10.55,2400,1940
56256,,54.58333,-14.51667,2700,1940
56223,,55.36667,-13.3,2785,1940
69677,,55.57567,-7.52633,70,2005
56246,,54.96667,-12.5,2850,1941
2599,,56.4998,-7.66165,166,1985
56229,,55.0,-13.16667,2870,1940
56236,,55.08333,-11.0,2670,1940
56230,,55.26667,-11.26667,2700,1916
3363,,55.5,-8.4175,85,1946
3370,,55.52225,-8.64573,91,1945
4986,,54.8335,-10.66733,1200,1940
69676,,55.61073,-7.49598,68,2005
3496,,55.53743,-7.71603,64,1944
56226,,55.325,-12.75833,2825,1917
58878,,54.8835,-10.36733,300,1940
56231,,55.23333,-10.48333,2032,1940
56106,,55.26667,-12.23333,2850,1940
3511,,55.57922,-7.62607,66,1918
4978,,54.83333,-11.95,2800,1917
56237,,55.06667,-12.25,2850,1940
56250,,54.8,-13.76667,2700,1940
4988,,54.91667,-10.25,200,1994
56255,,54.6,-14.38333,2700,1940
3332,,55.98333,-9.91667,2100,1946
56186,,56.15,-12.5,2700,1940
6928,,53.47447,-10.38445,113,1997
56202,,55.91667,-12.4,2750,1941
6930,,53.017,-9.41717,5,1864
56219,,55.5,-11.0,2500,1940
56190,,56.1,-12.2,2725,1940
56201,,55.7,-11.61667,2700,1940
56321,,56.0,-10.0,2200,1957
56583,,56.00028,-10.00028,2100,1946
56208,,55.76667,-11.75,2750,1939
6929,,53.05537,-9.50288,-1,1978
71776,,54.65037,-8.81308,51,2008
56192,,56.06667,-11.0,2500,1941
56204,,55.91667,-12.4,2750,1940
56222,,55.8,-11.61667,2750,1940
56172,,55.5,-11.0,2500,1945
55981,,56.38333,-11.95,2615,1984
56187,,56.15,-12.23333,2700,1940
56205,,55.88333,-12.61667,2750,1940
2564,,56.16028,-9.54638,1025,1940
